,time,ongoing_trips,date_snapshot
151,2025-03-11 07:00:00,315,20250305
152,2025-03-11 08:00:00,324,20250305
153,2025-03-11 09:00:00,266,20250305
154,2025-03-11 10:00:00,263,20250305
155,2025-03-11 11:00:00,261,20250305
156,2025-03-11 12:00:00,262,20250305
157,2025-03-11 13:00:00,264,20250305
158,2025-03-11 14:00:00,267,20250305
159,2025-03-11 15:00:00,264,20250305
160,2025-03-11 16:00:00,283,20250305
161,2025-03-11 17:00:00,334,20250305
162,2025-03-11 18:00:00,317,20250305
163,2025-03-11 19:00:00,275,20250305
164,2025-03-11 20:00:00,256,20250305
165,2025-03-11 21:00:00,235,20250305
166,2025-03-11 22:00:00,201,20250305
167,2025-03-11 23:00:00,136,20250305
168,2025-03-12 00:00:00,40,20250305
169,2025-03-12 01:00:00,5,20250305
170,2025-03-12 02:00:00,0,20250305
171,2025-03-12 03:00:00,0,20250305
172,2025-03-12 04:00:00,0,20250305
173,2025-03-12 05:00:00,60,20250305
174,2025-03-12 06:00:00,202,20250305
175,2025-03-12 07:00:00,315,20250305
176,2025-03-12 08:00:00,323,20250305
177,2025-03-12 09:00:00,264,20250305
178,2025-03-12 10:00:00,260,20250305
179,2025-03-12 11:00:00,258,20250305
180,2025-03-12 12:00:00,259,20250305
181,2025-03-12 13:00:00,269,20250305
182,2025-03-12 14:00:00,264,20250305
183,2025-03-12 15:00:00,261,20250305
184,2025-03-12 16:00:00,280,20250305
185,2025-03-12 17:00:00,332,20250305
186,2025-03-12 18:00:00,316,20250305
187,2025-03-12 19:00:00,273,20250305
188,2025-03-12 20:00:00,255,20250305
189,2025-03-12 21:00:00,234,20250305
190,2025-03-12 22:00:00,200,20250305
191,2025-03-12 23:00:00,136,20250305
192,2025-03-13 00:00:00,40,20250305
193,2025-03-13 01:00:00,5,20250305
194,2025-03-13 02:00:00,0,20250305
195,2025-03-13 03:00:00,0,20250305
196,2025-03-13 04:00:00,0,20250305
197,2025-03-13 05:00:00,60,20250305
198,2025-03-13 06:00:00,202,20250305
199,2025-03-13 07:00:00,315,20250305
200,2025-03-13 08:00:00,323,20250305
201,2025-03-13 09:00:00,263,20250305
202,2025-03-13 10:00:00,260,20250305
203,2025-03-13 11:00:00,258,20250305
204,2025-03-13 12:00:00,259,20250305
205,2025-03-13 13:00:00,261,20250305
206,2025-03-13 14:00:00,264,20250305
207,2025-03-13 15:00:00,261,20250305
208,2025-03-13 16:00:00,280,20250305
209,2025-03-13 17:00:00,331,20250305
210,2025-03-13 18:00:00,314,20250305
211,2025-03-13 19:00:00,272,20250305
212,2025-03-13 20:00:00,255,20250305
213,2025-03-13 21:00:00,234,20250305
214,2025-03-13 22:00:00,200,20250305
215,2025-03-13 23:00:00,136,20250305
216,2025-03-14 00:00:00,40,20250305
217,2025-03-14 01:00:00,4,20250305
218,2025-03-14 02:00:00,0,20250305
219,2025-03-14 03:00:00,0,20250305
220,2025-03-14 04:00:00,0,20250305
221,2025-03-14 05:00:00,0,20250305
222,2025-03-14 06:00:00,0,20250305
223,2025-03-14 07:00:00,0,20250305
224,2025-03-14 08:00:00,0,20250305
225,2025-03-14 09:00:00,1,20250305
226,2025-03-14 10:00:00,0,20250305
