snap_time,arrival_delay,departure_delay
2025-02-18 20:24:00,22.412993039443155,22.4025974025974
2025-02-19 10:56:00,22.450765864332602,21.061946902654867
2025-02-19 12:02:00,23.323442136498517,25.194805194805195
2025-02-19 12:17:00,24.130434782608695,26.482758620689655
2025-02-19 12:32:00,28.867924528301888,24.444444444444443
2025-02-19 12:47:00,49.714285714285715,66.5934065934066
2025-02-19 13:02:00,35.38461538461539,40.714285714285715
2025-02-19 13:17:00,72.83422459893048,75.29411764705883
2025-02-19 13:32:00,31.93548387096774,39.411764705882355
2025-02-19 13:47:00,31.39072847682119,28.867924528301888
2025-02-19 14:02:00,30.98901098901099,34.15384615384615
2025-02-19 14:17:00,19.696969696969695,23.164556962025316
2025-02-19 14:32:00,22.05128205128205,25.714285714285715
2025-02-19 14:47:00,26.503067484662576,32.142857142857146
2025-02-19 15:02:00,22.31404958677686,24.666666666666668
2025-02-19 15:17:00,40.73394495412844,53.855421686746986
2025-02-19 15:32:00,86.54545454545455,95.52
2025-02-19 15:47:00,98.33333333333333,127.1830985915493
2025-02-19 16:02:00,217.77777777777777,251.25
2025-02-19 16:17:00,145.48262548262548,165.2132701421801
2025-02-19 16:32:00,80.88235294117646,84.0
2025-02-19 16:47:00,148.33948339483396,180.0
2025-02-19 17:02:00,137.31543624161074,144.10256410256412
2025-02-19 17:17:00,100.73394495412845,114.06976744186046
2025-02-19 17:32:00,110.33557046979865,117.0
2025-02-19 17:47:00,61.855670103092784,60.857142857142854
2025-02-19 18:02:00,212.40641711229947,220.0
2025-02-19 18:17:00,215.84415584415584,253.94594594594594
2025-02-19 18:32:00,142.6153846153846,170.58823529411765
2025-02-19 18:47:00,316.42105263157896,392.60869565217394
2025-02-19 19:02:00,274.8529411764706,318.54545454545456
2025-02-19 19:17:00,35.666666666666664,40.40816326530612
2025-02-19 19:32:00,68.64864864864865,70.58823529411765
2025-02-19 19:47:00,49.83870967741935,48.75
2025-02-19 20:02:00,72.5925925925926,74.73684210526316
2025-02-19 20:17:00,40.40816326530612,37.43119266055046
2025-02-19 20:32:00,60.75949367088607,93.55932203389831
2025-02-19 20:47:00,50.869565217391305,57.93103448275862
2025-02-19 21:02:00,99.6774193548387,92.0
2025-02-19 21:17:00,36.41025641025641,50.32258064516129
2025-02-19 21:32:00,34.285714285714285,41.25
2025-02-19 21:47:00,35.0,40.645161290322584
2025-02-19 22:02:00,51.06382978723404,50.0
2025-02-19 22:17:00,45.45454545454545,38.4
2025-02-19 22:32:00,64.13793103448276,26.08695652173913
2025-02-19 22:47:00,172.0,45.0
2025-02-19 23:02:00,24.0,
2025-02-19 23:17:00,240.0,60.0
2025-02-19 23:32:00,60.0,90.0
2025-02-19 23:47:00,60.0,
2025-02-20 03:17:00,21.818181818181817,22.5
2025-02-20 03:32:00,24.615384615384617,25.0
2025-02-20 03:47:00,24.705882352941178,26.31578947368421
2025-02-20 04:02:00,27.142857142857142,22.75862068965517
2025-02-20 04:17:00,18.42105263157895,23.75
2025-02-20 04:32:00,18.40909090909091,22.258064516129032
2025-02-20 04:47:00,20.675675675675677,22.63157894736842
2025-02-20 05:02:00,24.428571428571427,27.058823529411764
2025-02-20 05:17:00,16.176470588235293,21.951219512195124
2025-02-20 05:32:00,18.773006134969325,23.62204724409449
2025-02-20 05:47:00,124.10958904109589,146.47058823529412
2025-02-20 06:02:00,35.20661157024794,40.0
2025-02-20 06:17:00,22.718446601941746,28.67924528301887
2025-02-20 06:32:00,14.304635761589404,18.58407079646018
2025-02-20 06:47:00,23.6697247706422,22.125
2025-02-20 07:02:00,53.9568345323741,57.714285714285715
2025-02-20 07:17:00,41.15942028985507,46.785714285714285
2025-02-20 07:32:00,25.970149253731343,28.846153846153847
2025-02-20 07:47:00,23.814432989690722,26.71232876712329
2025-02-20 08:02:00,46.890756302521005,49.148936170212764
2025-02-20 08:17:00,19.263157894736842,23.137254901960784
2025-02-20 08:32:00,63.6,70.81967213114754
2025-02-20 08:47:00,187.0935960591133,239.61290322580646
2025-02-20 09:02:00,48.292682926829265,58.656716417910445
2025-02-20 09:17:00,29.592760180995477,33.01587301587302
2025-02-20 09:32:00,43.97260273972603,49.32203389830509
2025-02-20 09:47:00,28.214285714285715,26.129032258064516
2025-02-20 10:17:00,32.225519287833826,35.111111111111114
2025-02-20 10:32:00,49.00763358778626,47.18446601941748
2025-02-20 10:47:00,38.88268156424581,39.111111111111114
2025-02-20 11:02:00,41.111111111111114,48.0
2025-02-20 11:17:00,32.698412698412696,34.22818791946309
2025-02-20 11:32:00,30.545454545454547,26.823529411764707
2025-02-20 11:47:00,28.8,25.96153846153846
2025-02-20 12:02:00,25.894736842105264,28.181818181818183
2025-02-20 12:17:00,17.91044776119403,24.57831325301205
2025-02-20 12:32:00,19.45945945945946,21.428571428571427
2025-02-20 12:47:00,25.90909090909091,31.428571428571427
2025-02-20 13:02:00,278.2258064516129,370.96774193548384
2025-02-20 13:17:00,18.0,26.301369863013697
2025-02-20 13:32:00,68.51851851851852,69.85074626865672
2025-02-20 13:47:00,54.74226804123711,54.32432432432432
2025-02-20 14:02:00,100.84033613445378,108.79120879120879
2025-02-20 14:17:00,47.142857142857146,41.25
2025-02-20 14:32:00,41.28,36.49484536082474
2025-02-20 14:47:00,35.869565217391305,33.63636363636363
2025-02-20 15:02:00,24.615384615384617,16.451612903225808
2025-02-20 15:17:00,18.11320754716981,27.073170731707318
2025-02-20 15:32:00,24.363636363636363,27.761194029850746
2025-02-20 15:47:00,27.076923076923077,29.016393442622952
